FID,name,operator_t,isced_leve,Lat,Log,Remarks
36,Kids Wonderland,private,kindergarten,27.68083015,85.3477421, 
37,Bhimsengola Secondary School,government,secondary,27.689997,85.34077939, 
38,Angel Lord Academy High School,private,secondary,27.67990847,85.34757052, 
39,V. S. Niketan HS School,private,secondary,27.68593529,85.34278975, 
40,Radiant Readers Academy,private,secondary,27.6889247,85.3059552, 
41,Phoenix Academy,private,lower_secondary,27.68990769,85.30480733, 
42,Ekita International School,private,secondary,27.7300293,85.33594895, 
43,Nazereth School,private,secondary,27.69036351,85.30629996, 
44,Shree Rani Bari Lower Secondary School,government,lower_secondary,27.72733911,85.32098126, 
45,Kenji International School,private,primary,27.68181822,85.3428647, 
46,St. Davis Academy,private,secondary,27.73124187,85.34892821, 
47,Gyan Bijaya Lower Secondary School,government,lower_secondary,27.67281605,85.42279525, 
48,Wendy's House,private,secondary,27.72257709,85.33342544, 
49,The Spangle Boarding School,private,secondary,27.70219389,85.32620701, 
50,Continental Academy,private,secondary,27.69312165,85.35076769, 
51,Nepal Pathfinder Co-ed School,private,secondary,27.7028863,85.34584712, 
52,Sishu Niketan School,private,secondary,27.69984399,85.34130988, 
53,Daffodil Boarding School,private,secondary,27.72643911,85.3561227, 
54,Wiseland Secondary School,private,secondary,27.66761286,85.43432059, 
55,Paragon Academy,private,secondary,27.67717053,85.4398094, 
56,Baluwatar School,private,primary,27.72650736,85.33434614, 
57,Prime Time Pre-School,private,kindergarten,27.73453619,85.33677693, 
58,Vidhya Bikash Secondary Boarding School,private,secondary,27.66747136,85.43532853, 
59,Sun Moon English School,private,primary,27.73134506,85.32602342, 
60,Shivapuri High School,government,secondary,27.73064075,85.33024247, 
61,Samata Shikshya Niketan School,community,secondary,27.67893575,85.44058058, 
62,Minar English Boarding School,private,secondary,27.74227208,85.33542331, 
63,Glen BUDS Secondary School,private,secondary,27.73546502,85.32780283, 
64,Shree Pashupati Mitra Secondary School,government,secondary,27.71645144,85.34599502, 
65,St. George International School,private,secondary,27.72056258,85.33822454, 
66,Meridian International School,private,secondary,27.72796205,85.32637729, 
67,Ashirwad Boarding School,private,secondary,27.72808489,85.33307491, 
68,New Knowledge Boarding Secondary School,private,secondary,27.73048872,85.33561921, 
69,Cosmopolitan Boarding Secondary School,private,secondary,27.72743276,85.33637897, 
70,J.P. School,government,secondary,27.7125137,85.31001366, 
71,South Point Boarding High School,private,secondary,27.68792289,85.32856516, 
72,Little Flower Public School,private,secondary,27.67936064,85.3267007, 
73,Paragon Public School,private,secondary,27.70356229,85.34931299, 
74,Ankur Vidyashram,private,secondary,27.70147971,85.34626641, 
75,Small Wonder Montessori Pre School,private,kindergarten,27.70533448,85.34675337, 
76,Nepal Music School,community,secondary,27.70218446,85.34863746, 
77,Shambhavi School,private,secondary,27.70588758,85.34414017, 
78,Venus English School,private,secondary,27.70007173,85.3475088, 
79,New English School,private,secondary,27.71716989,85.35222792, 
80,Balambu Madhyamik Vidhyalaya,government,secondary,27.69214025,85.24615328, 
81,Eureka High School,private,secondary,27.74283614,85.303209, 
82,Rikast Intensive Academy,private,primary,27.68715995,85.24310722, 
83,Shahid Dharma Bhakta School,private,secondary,27.66078623,85.30550009, 
84,The Chanbagh School (SLC Block),private,secondary,27.74469563,85.3428859, 
85,Alliance Academy Higher Secondary School,private,secondary,27.69179135,85.33087542, 
86,Golden Peak High School,private,secondary,27.72595528,85.35414393, 
87,Sagarmatha High School,private,secondary,27.7266311,85.35316193, 
88,Jagriti School,government,secondary,27.67257834,85.42693637, 
89,Pathshala Nepal Foundation,private,secondary,27.6946545,85.33290575, 
90,Little Diamond School,private,primary,27.73740914,85.28838779, 
91,Shree Lokanthali Primary School,government,primary,27.68582213,85.3780115, 
92,Nepal Ideal School,private,secondary,27.69702274,85.33728338, 
93,Rosemary Montessori School,private,kindergarten,27.72898407,85.28827871, 
94,Everest Bhaktapur School,private,primary,27.67537048,85.42629511, 
95,Ghataraj Prabha Niketan School,private,lower_secondary,27.72422711,85.34918982, 
96,Kali Devi Primary School,government,primary,27.6014511,85.3019786, 
97,Dikshyanta Academy,private,secondary,27.727028,85.3483787, 
98,BC-CAPS Montessori,private,kindergarten,27.721651,85.2874594, 
99,Bardford International School,private,lower_secondary,27.72727088,85.29046346, 
100,Coronal International School,private,lower_secondary,27.72593579,85.29158112, 
101,Global Vision School Academy,private,primary,27.72954965,85.28708838, 
102,Kamana International School (play group),private,secondary,27.72174789,85.28823938, 
103,Smriti Child Care and Kindergarten,private,kindergarten,27.74407823,85.34070687, 
104,Niharika Shishu Kunja High School,private,secondary,27.73621349,85.30443257, 
105,Twinkle Toes Infant School,private,kindergarten,27.73303641,85.29871643, 
106,Shree Primary School,government,primary,27.6735238,85.43242199, 
107,Saraswati English School,private,primary,27.69375961,85.40247604, 
108,Champak Binayak Primary School,government,primary,27.73664575,85.4159532, 
109,Shree Adarsha Higher Secondary School,government,secondary,27.7391613,85.4187759, 
